Area Code,Country,Y2000,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017,Y2018,Y2019,Y2018,Y2019
2,Afghanistan,0.996,1.315,1.317,0.598,1.317,0.386,1.647,0.616,0.671,0.841,1.564,1.342,0.102,1.237,0.474,1.096,1.473,1.483,1.524,0.893,1.524,0.893
3,Albania,1.139,1.607,0.559,1.079,0.506,0.282,0.492,1.475,1.129,1.002,1.294,1.123,1.603,1.495,1.399,1.725,1.697,1.337,2.232,1.911,2.232,1.911
4,Algeria,0.91,1.946,1.329,1.668,1.07,1.346,1.482,1.31,1.282,1.044,2.359,1.492,1.238,1.267,1.774,1.224,1.866,1.63,1.326,1.224,1.326,1.224
5,American Samoa,0.541,0.708,1.027,0.551,0.356,0.83,0.749,1.589,0.695,,1.271,0.79,0.901,1.159,1.086,0.885,1.648,1.268,1.101,1.502,1.101,1.502
6,Andorra,1.055,1.505,0.845,1.987,0.942,0.864,1.494,1.005,0.912,1.381,0.441,1.643,1.233,0.794,1.899,1.619,1.917,1.853,1.826,1.871,1.826,1.871
7,Angola,0.204,0.27,0.701,0.891,0.308,1.029,0.369,0.659,0.336,0.554,1.058,0.708,0.401,0.91,0.726,1.26,1.534,0.808,1.264,1.694,1.264,1.694
258,Anguilla,0.098,0.423,0.639,0.664,0.333,0.629,0.494,0.728,0.204,0.424,0.916,0.345,0.52,0.631,0.659,0.916,0.954,0.788,0.607,0.843,0.607,0.843
30,Antarctica,-0.778,-0.062,1.259,-0.474,0.129,0.875,-0.081,0.68,0.605,1.314,0.813,0.725,-0.216,1.738,0.546,-0.095,0.217,0.764,1.454,0.615,1.454,0.615
8,Antigua and Barbuda,0.183,,0.514,,0.368,0.688,0.503,0.7,0.185,0.366,0.96,0.457,0.569,0.678,0.629,0.925,0.977,0.824,0.61,0.827,0.61,0.827
9,Argentina,-0.219,0.395,0.269,0.626,0.415,0.199,0.529,-0.232,0.529,0.784,0.078,0.324,0.748,0.394,0.912,0.91,0.459,1.057,0.828,0.709,0.828,0.709
1,Armenia,1.109,1.485,1.218,0.201,1.21,0.529,1.7,0.735,0.88,0.711,2.703,0.676,1.31,1.463,1.342,1.979,1.406,0.976,2.853,1.864,2.853,1.864
22,Aruba,0.08,0.698,,0.912,0.448,0.585,0.61,0.962,0.327,0.773,1.289,0.385,0.565,1.018,0.799,1.601,1,1.143,0.895,1.216,0.895,1.216
10,Australia,0.122,0.32,0.706,0.79,0.671,1.144,0.643,0.864,0.553,0.968,0.644,0.176,0.273,1.45,1.139,1.051,1.142,1.117,1.112,1.423,1.112,1.423
11,Austria,1.772,1.507,1.54,1.469,0.842,0.641,0.923,2.15,1.592,1.55,0.664,1.376,1.788,1.098,2.404,2.153,2.083,1.73,2.511,2.365,2.511,2.365
52,Azerbaijan,1.147,1.461,1.488,-0.055,1.379,0.88,1.556,1.029,0.976,0.846,2.36,0.831,1.534,1.626,1.29,1.698,1.494,1.347,2.281,2.025,2.281,2.025
12,Bahamas,0.307,0.237,0.951,1.082,0.395,0.52,0.235,0.829,0.857,0.442,0.336,0.392,0.382,0.588,0.875,1.103,1.048,1.332,1.017,1.434,1.017,1.434
13,Bahrain,1.189,1.281,1.629,1.312,1.437,1.114,1.851,1.058,1.299,1.202,2.189,1.409,1.363,1.487,1.89,2.441,1.72,2.188,2.359,2.238,2.359,2.238
16,Bangladesh,0.279,0.439,0.471,0.311,0.35,0.687,0.913,0.414,0.213,0.976,0.943,0.243,0.34,0.375,0.648,0.808,1.393,1.211,0.993,1.211,0.993,1.211
14,Barbados,0.221,0.446,0.465,0.868,0.718,1.175,0.93,0.775,0.437,0.577,1.32,0.867,0.75,0.965,0.626,1.098,1.41,1.069,0.802,1.286,0.802,1.286
57,Belarus,1.922,1.958,1.87,0.068,0.916,1.261,0.633,2.347,2.239,1.583,1.436,0.994,1.534,1.184,2.15,2.23,2.187,1.577,2.32,2.657,2.32,2.657
255,Belgium,1.478,1.337,1.397,1.522,1.085,1.193,1.393,1.875,1.247,1.156,0.229,1.286,1.132,0.467,2.428,1.37,1.866,1.719,2.201,2.075,2.201,2.075
15,Belgium-Luxembourg,,,,,,,,,,,,,,,,,,,,,,
23,Belize,0.163,0.428,0.732,0.951,0.699,0.852,0.638,0.819,0.546,0.888,0.799,0.674,0.594,0.74,0.744,1.273,1.423,1.334,0.895,1.616,0.895,1.616
