Country,Source,Y2000,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017,Y2018,Y2019
Afghanistan,Drained organic soils (CO2),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Afghanistan,On-farm energy use,25.0585,28.5361,37.477,38.7123,41.6129,54.7141,98.5999,76.4629,149.2237,245.4437,336.6644,393.0081,363.2833,256.0833,211.6509,231.8452,181.6056,132.7927,132.8417,117.0798
Afghanistan,Forestland,-2388.803,121.9016,121.9016,121.9016,121.9016,121.9016,121.9016,121.9016,121.9016,121.9016,121.9016,-246.2191,-246.2191,-246.2191,-246.2191,-246.2191,154.6574,154.6574,154.6574,154.6574
Afghanistan,Net Forest conversion,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Afghanistan,Fires in organic soils,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Afghanistan,Waste - agri-food systems,0,0,34.4786,34.6461,34.8741,35.1425,35.3229,35.8454,35.9022,36.2225,36.6037,36.7843,36.9582,36.9768,37.0037,36.8965,36.8113,36.8652,36.8059,36.869
Afghanistan,Fertilizers Manufacturing,35.7872,35.4204,44.5876,31.3226,36.4378,29.1263,33.9886,31.4764,28.5988,26.4955,22.3799,32.4927,29.4433,29.9814,28.6394,27.2354,27.8469,25.2837,24.2826,23.2331
Afghanistan,On-farm electricity use,2.7774,3.2371,5.1501,5.4767,8.1217,8.2136,21.4152,32.6876,31.0674,31.558,31.4779,31.5036,31.5232,34.3698,37.8067,38.0816,36.535,37.6348,39.5252,39.869
Afghanistan,Food Processing,10.5259,11.212,14.8957,17.02,12.7357,18.8725,22.1871,51.3405,99.3855,152.6062,157.0495,241.896,209.7859,71.0095,66.3401,66.9964,57.343,53.5748,52.1563,72.6639
Afghanistan,Food Packaging,1.5922,1.4973,1.9442,2.1223,1.5023,1.9834,2.2763,3.6906,6.2353,9.4377,10.9338,17.4054,14.0508,11.6875,10.763,10.5717,8.7649,8.0683,10.8451,12.1045
Afghanistan,Food Retail,1.0471,1.2204,1.5622,1.8986,2.1116,2.1355,3.712,4.2494,4.0388,4.1025,4.0921,4.0955,11.8433,10.5178,14.0476,14.1459,13.5695,13.9761,14.6553,11.7543
Afghanistan,Food Household Consumption,12.075,13.4863,18.3789,21.3559,41.9606,52.964,84.345,59.0926,69.0754,164.7553,252.5457,265.1593,292.3777,317.3458,344.9223,332.1633,411.5902,458.7671,447.2549,441.2589
Afghanistan,Food Transport,13.7445,12.9455,10.449,15.2185,13.9375,22.362,29.809,24.854,81.9535,169.468,241.406,484.62,400.31,252.375,186.58,258.13,170.8975,233.265,240.165,269.5374
Afghanistan,Energy,751,795,1070,1200,907,1330,1660,2290,4220,6770,8440,12200,10300,8470,7820,7930,6740,7930,8390,9170
Afghanistan,IPPU,163,150,156,157,159,159,166,168,175,177,190,190,264,331,280,254,300,271,296,306
Afghanistan,Farm-gate emissions,25.0585,28.5361,37.477,38.7123,41.6129,54.7141,98.5999,76.4629,149.2237,245.4437,336.6644,393.0081,363.2833,256.0833,211.6509,231.8452,181.6056,132.7927,132.8417,117.0798
Afghanistan,Land Use change,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Afghanistan,Emissions on agricultural land,25.0585,28.5361,37.477,38.7123,41.6129,54.7141,98.5999,76.4629,149.2237,245.4437,336.6644,393.0081,363.2833,256.0833,211.6509,231.8452,181.6056,132.7927,132.8417,117.0798
Afghanistan,Pre- and post- production,77.5493,79.019,131.4463,129.0607,151.6813,170.7998,233.0561,243.2365,356.2569,594.6457,756.4886,1113.9568,1026.2924,764.2636,726.1028,784.2208,763.3583,867.435,865.6903,907.2901
Afghanistan,Agri-food systems,102.6078,107.5551,168.9233,167.773,193.2942,225.514,331.656,319.6995,505.4805,840.0894,1093.153,1506.9649,1389.5757,1020.3469,937.7537,1016.066,944.9639,1000.2276,998.532,1024.3699
Afghanistan,LULUCF,-2388.803,121.9016,121.9016,121.9016,121.9016,121.9016,121.9016,121.9016,121.9016,121.9016,121.9016,-246.2191,-246.2191,-246.2191,-246.2191,-246.2191,154.6574,154.6574,154.6574,154.6574
Afghanistan,LULUCF,,,,,,9341.13,,,,,,,,10546,,,,,,
Afghanistan,AFOLU,-2388.803,121.9016,121.9016,121.9016,121.9016,121.9016,121.9016,121.9016,121.9016,121.9016,121.9016,-246.2191,-246.2191,-246.2191,-246.2191,-246.2191,154.6574,154.6574,154.6574,154.6574
Afghanistan,All sectors with LULUCF,-1474.803,1066.9016,1347.9016,1478.9016,1187.9016,1610.9016,1947.9016,2579.9016,4516.9016,7068.9016,8751.9016,12143.7809,10317.7809,8554.7809,7853.7809,7937.7809,7194.6574,8355.6574,8840.6574,9630.6574
Afghanistan,All sectors without LULUCF,914,945,1226,1357,1066,1489,1826,2458,4395,6947,8630,12390,10564,8801,8100,8184,7040,8201,8686,9476
Albania,Drained organic soils (CO2),110.5335,110.4958,110.4958,110.4506,110.4274,110.4274,110.4274,110.4274,110.4274,110.4274,109.774,109.8112,109.8112,109.1577,109.1577,109.0486,108.8386,108.8931,107.5854,105.776
