Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Afghanistan,-6480.330100000000,3673.8078000000000,4709.8533,5100.6377,4307.1019,15026.9923,7059.174300000000,8897.1676,15338.2718,24094.3183,29993.7298,41099.0264,35239.134,39281.2476,26340.0356,26847.1668,24755.1269,28355.1053,29805.0673,32236.8191
Africa,10252065.8997,10346774.227400000,10350579.413900000,10537489.1223,10745404.6316,10891740.1573,11023891.7347,11162945.1926,11307392.5277,11348960.1811,11419922.795,12928695.1562,12987520.3478,13134109.0313,13432951.1408,13291139.9432,13573882.8338,13736339.6967,13844245.2258,13951224.0571
Albania,15640.883,10309.038200000000,11666.409600000000,12355.0515,12952.605,12999.5851,12380.301600000000,12121.8313,13063.070900000000,12483.8477,12851.005800000000,15857.1401,14263.5983,15781.2147,18197.4774,14360.7529,16298.856,19675.0773,18216.5765,18639.8668
Algeria,302235.7408,280763.7658,302316.6339,307762.5566,301100.40840000000,361573.7267,335652.8439,364446.3634,367135.6373,402054.2106,394222.1517,413151.2282,452387.29110000000,498755.563,543022.307,576599.3866,585718.497,596461.3012,634557.6631,648926.4231
American Samoa,-179.8677,-133.5364,-133.5364,-133.5364,-133.5364,-133.5364,-133.5364,-133.5364,-133.5364,-133.5364,-133.5364,-117.06700000000000,-117.06700000000000,-117.06700000000000,-117.06700000000000,-117.06700000000000,-136.9145,-136.9145,-136.9145,-136.9145
Americas,37663934.1962,38452994.5092,38579436.2449,38920041.6468,39279343.2772,39667235.4705,39553969.5556,39953866.2152,39712363.4596,38242506.2302,38919741.9272,32000656.5069,31587705.8048,32143060.1473,32504116.7249,32113793.5978,31918545.9621,31775917.6539,32193787.345400000,31695838.1241
Andorra,1771.6074,1776.8165,1797.2424,1801.8581,1881.2667000000000,1925.6734,1826.3935,1807.0772000000000,1801.6166000000000,1717.2621,1722.2613000000000,1637.0042000000000,1621.2765,1584.8767,1537.3503,1547.1068,1560.7446,1550.4107,1515.2216000000000,1460.2168000000000
Angola,119480.7445,299512.41970000000,300078.4144,305672.03520000000,300170.4413,299056.6341,303517.3923,306054.41950000000,311003.8625,317321.30210000000,325044.1895,329331.3816,335441.6534,335796.4762,371124.3149,344176.8202,346853.738,347627.1633,335770.9037,341411.6494
Anguilla,313.4647,339.7045,335.5367,363.0013,429.0919,450.9048,506.78250000000000,530.7713,528.1115,517.5023,532.4946,510.5402,505.6745,429.3276,498.2963,553.1102,557.3207,513.9327000000000,532.9499000000000,555.9484
Annex I countries,44540968.600100000,43058112.135,43194588.7161,44063759.168,44634500.7819,44890133.5331,44947233.4873,45189270.8935,44257980.9768,40840402.592,42308702.8669,40049215.7548,39428563.8794,39436978.146,38983512.8853,38702459.1514,41066737.4494,41262880.1736,41871317.5726,40923357.533200000
Antigua and Barbuda,1034.8331000000000,1041.5081,1139.4613,1219.3515,1273.8039000000000,1300.3709,1341.2366,1416.5054,1445.2784,1544.365,1583.6363000000000,1568.7701,1612.7256,1638.5307000000000,1634.6299000000000,1638.8445000000000,1728.6526,1758.7719,1827.5993000000000,1894.3292000000000
Argentina,930849.2292,1285625.6141,1258881.1377,1297959.143,1375190.6618,1401222.6104000000,1427085.0396,1435404.9477,1492088.9016,1455395.8524,1579943.7985,1274809.9287,1370270.0558,1290175.2059,1284066.1858,1296557.5575,1017916.9599,1010451.1986,1001587.0264,972239.2288
Armenia,12726.0403,13744.7328,12269.2533,13691.5376,14605.361500000000,16935.2993,16561.107,21269.1316,23224.5287,18634.5324,17176.9998,18895.173200000000,21615.2177,20212.7125,19889.122800000000,18843.7434,19522.1756,20706.2352,24917.324400000000,23732.6096
Aruba,7694.8995000000000,7806.7699,7849.5106,8241.642100000000,8457.1365,8759.1011,8745.041800000000,9056.6001,8518.551500000000,8460.8016,8094.9453,8149.4274000000000,4639.6722,3177.1279,3197.4202,3272.2738,3230.4969,3398.2063,3502.3029,3628.6156
Asia,35994375.7963,34408030.6351,38547797.9358,39810238.1906,45163939.8923,46264714.4201,51311572.9236,50833011.5762,53531518.9541,57494855.4682,58893247.1627,63923666.7399,66380505.5229,67326169.3324,70594458.4753,71271014.4788,69129777.6047,70348932.2352,73261456.4163,75637229.4105
Australia,1630840.3735,1593261.8098,1630205.1423,1628113.5618,1626408.8778000000,1688192.3889000000,1731948.016,1779940.6045,1793229.0782000000,1810181.7607,1808192.1153000000,1287441.0065,1230968.2639,1192024.2591,1153810.3261,1143587.8362,1241269.1641,1218129.9031,1233610.4144000000,1250840.9089000000
Australia and New Zealand,1586253.8531,1528312.5617,1578913.6640000000,1569188.9019,1593473.4394,1617525.3974000000,1665435.1367000000,1692518.2474,1734761.7603,1763397.0054000000,1772010.5944,1324213.8819,1309277.3654,1277328.7512,1253279.0495,1266193.1404,1430569.346,1422319.0123,1419382.8368,1444428.6625
Austria,138566.4622,170408.2087,185920.0152,221400.6274,211339.3851,213693.7946,221050.5525,212048.6128,212604.1513,189296.5141,204402.3952,192109.26,183162.305,186344.01380000000,175445.6128,182261.8302,182982.1605,189847.6215,182664.30480000000,189858.65230000000
